device_id,device_type,os,ip_address
1,Mobile,iOS,192.168.80.172
2,Tablet,Windows,192.168.62.178
3,Web,iOS,192.168.230.67
4,Mobile,Linux,192.168.91.160
5,Tablet,Windows,192.168.114.98
6,Tablet,iOS,192.168.49.43
7,Mobile,Android,192.168.224.82
8,Web,Linux,192.168.147.32
9,Web,Windows,192.168.143.144
10,Web,Linux,192.168.172.220
11,Web,Linux,192.168.217.145
12,Mobile,Linux,192.168.30.240
13,Web,Linux,192.168.9.225
14,Tablet,Linux,192.168.171.41
15,Mobile,iOS,192.168.120.144
16,Mobile,iOS,192.168.197.33
17,Tablet,Android,192.168.202.43
18,Mobile,Android,192.168.131.235
19,Tablet,iOS,192.168.19.180
20,Web,iOS,192.168.160.214
21,Tablet,iOS,192.168.16.85
22,Tablet,iOS,192.168.211.133
23,Web,Linux,192.168.2.182
24,Tablet,Android,192.168.221.70
25,Mobile,Linux,192.168.57.9
26,Tablet,Windows,192.168.78.64
27,Mobile,iOS,192.168.205.136
28,Web,Windows,192.168.128.53
29,Web,Windows,192.168.128.173
30,Web,iOS,192.168.161.99
31,Mobile,Windows,192.168.98.217
32,Tablet,iOS,192.168.119.246
33,Web,Linux,192.168.38.16
34,Tablet,Android,192.168.176.226
35,Web,Linux,192.168.211.245
36,Web,Windows,192.168.59.195
37,Web,Windows,192.168.41.20
38,Tablet,Windows,192.168.131.58
39,Tablet,Linux,192.168.162.138
40,Web,Windows,192.168.140.205
41,Tablet,iOS,192.168.191.146
42,Tablet,Android,192.168.142.83
43,Tablet,Android,192.168.111.4
44,Mobile,iOS,192.168.190.141
45,Tablet,Android,192.168.37.108
46,Web,Android,192.168.201.53
47,Tablet,Android,192.168.125.185
48,Mobile,Windows,192.168.185.72
49,Tablet,Linux,192.168.30.57
50,Web,iOS,192.168.43.47
51,Mobile,iOS,192.168.175.229
52,Mobile,Linux,192.168.171.16
53,Web,Linux,192.168.26.138
54,Web,Windows,192.168.27.68
55,Web,Android,192.168.9.94
56,Tablet,Android,192.168.195.167
57,Tablet,Android,192.168.123.92
58,Web,iOS,192.168.242.222
59,Web,iOS,192.168.60.75
60,Web,iOS,192.168.23.195
61,Tablet,Windows,192.168.239.172
62,Web,Linux,192.168.16.27
63,Mobile,Linux,192.168.214.137
64,Mobile,iOS,192.168.125.23
65,Tablet,Linux,192.168.115.62
66,Mobile,Linux,192.168.126.183
67,Web,Android,192.168.220.164
68,Mobile,Linux,192.168.184.32
69,Mobile,Windows,192.168.117.253
70,Tablet,Windows,192.168.15.50
71,Web,iOS,192.168.82.199
72,Web,Linux,192.168.45.120
73,Tablet,Windows,192.168.187.214
74,Mobile,Linux,192.168.195.174
75,Tablet,Windows,192.168.253.194
76,Web,iOS,192.168.177.225
77,Tablet,Android,192.168.130.167
78,Web,Windows,192.168.176.142
79,Mobile,iOS,192.168.105.50
80,Mobile,Android,192.168.75.32
81,Tablet,iOS,192.168.151.217
82,Tablet,Linux,192.168.228.16
83,Tablet,iOS,192.168.88.211
84,Mobile,Windows,192.168.142.250
85,Mobile,Android,192.168.197.156
86,Mobile,Windows,192.168.123.41
87,Web,iOS,192.168.166.249
88,Mobile,iOS,192.168.47.64
89,Web,Windows,192.168.191.178
90,Mobile,iOS,192.168.212.166
91,Web,iOS,192.168.250.194
92,Web,iOS,192.168.165.157
93,Tablet,iOS,192.168.24.167
94,Web,Windows,192.168.78.252
95,Tablet,iOS,192.168.71.217
96,Mobile,Android,192.168.7.122
97,Web,Linux,192.168.208.21
98,Tablet,Android,192.168.32.37
